,datano,꽃 이름,꽃 영문이름,꽃말,사용,생장
0,366,월귤,Cowberry,"반항심, 도전","<p>월귤은 고원지역의 화단용으로 훌륭한 소재이다. 연분홍의 꽃도 아름답지만 빨간색으로 익는 열매도 관상가치가 높다. 실내에서 분경으로 제작하여 흔히 관상용으로 즐긴다.</p>
","<p>종자의 발아나 휴면에 대한 정보는 찾기 어렵다. 번식은 땅속으로 포복하며 길게 자라는 땅속줄기(근경)를 잘라 번식하면 된다.</p>
"
1,365,죽절초,,사랑의 열매,남부지역은 정원용 소재로 아주 훌륭하다. 중부에서는 잎과 열매를 보는 실내 관엽식물로 고급소재이다. 또한 줄기가 곧고 열매가 아름다워 꽃꽂이할 때 소재로도 쓰인다.,"추위엔 약하지만 음지와 염해에 강해 남부의 그늘진 곳에서 대량생산이 가능하다. 맹아력은 보통이고 생장속도는 느린 편이다. 겨울부터 봄까지 씨앗을 뿌려 번식하며, 초여름 장마기에 가지를 잘라 삽목으로 번식한다."
2,364,호자나무,Indian damnacanthus,공존,남부지역에서는 정원용으로 훌륭한 소재이다. 특지 자라는 속도가 더디며 전정을 하지 않아도 수형이 잘 잡힌다. 분재용으로 흔히 재배되며 하얀 나팔처럼 피는 꽃과 열매를 동시에 달아 작품전시회에 출품되기도 한다.,추위나 공해에는 약하지만 음지나 염해에 강하며 생장이 늦음만큼 조직이 치밀하게 자란다. 씨앗을 10월에 따서 흙에 묻어두었다 이듬해 봄에 뿌리면 된다. 옮겨심기는 장마철에 하는 것이 좋고 정원에 이용할 때는 몇 포기를 모아 심으면 관상가치가 뛰어나다.
3,363,돈나무,Japanese pittosporum,"포용, 한결같은 관심",키가 작고 수형이 잘 잡힐 뿐만 아니라 상록성이면서 잎 모양이 좋아 남부지역에서는 정원수나 생울타리 또는 수벽 만드는데 아주 우수한 품목이다. 추위에 약해 중부이북에서는 밖에서 월동이 곤란하므로 관엽식물이나 분화 또는 실내정원의 중심목 등 실내식물로 이용하면 좋다.,씨앗으로도 번식하지만 이른 봄이나 여름 장마철에 새로 나온 가지를 잘라 삽목하여 번식하면 쉽게 새뿌리가 내린다. 추위나 음지에는 약하지만 염해나 공해에도 강해 남부의 바닷가나 도로변 같은 곳에서 잘 자란다. 정원에서는 물이 잘 빠지고 볕이 잘 드는 곳에 심는다. 5-6월에 꽃이 지고 나면 도장지를 잘라주는 정도로 전정한다. 옮겨심기는 이른 봄이 좋지만 6-7월경에 해도 별 피해가 없다. 생장은 대체로 더딘 편이다.
4,362,수호초,Japanese pachysandra,동장군,"전국의 공원, 정원, 경사면 녹지조성 등 지면을 피복하는 용도도 아주 우수한 소재다. 특히 사계절 녹색을 띠기 때문에 경관이 중요한 부분 식재용으로 적합하다. 플라워박스나 플랜터 같은 곳에 군락으로 심어 어디든 놓아도 잘 어울린다.",추위는 물론 여름 더위에도 강해 전국 어디서든 잘 적응하며 특히 음지에 강하다. 과습한 곳은 피해야 한다. 흰 꽃은 4-5월에 피며 다 자랐을 때 30cm 미만으로 지면을 덮는다. 여름에 더울 때 지상부를 잘라주면 포기사이 통풍도 좋아지고 포기가 옆으로 잘 번진다. 초가을에 포기를 나누거나 줄기를 떼어 삽목으로 번식한다.
5,361,맥문동,Big blue lilyturf,기쁨의 연속,"공원, 자연학습장, 주택이나 건물주변의 정원 등에 지면을 덮는 용으로 흔히 쓰인다. 소나무 군식지나 낙엽수 아래 군락으로 모아 심으면 곧 전체에 퍼져 경관을 연출한다. 뿌리를 약용으로 쓰기 위해 집단 재배되기도 한다. 추위와 습해에는 다소 약한 편이지만 서울의 대부분 지역에서 잘 견딘다.",씨앗으로 번식할 때는 가을에 종자를 따 껍질을 벗겨 땅속에 묻어두었다 봄에 뿌리면 싹이 잘 나온다. 땅속의 땅속줄기(지하경)를 뻗으며 자라며 덩이뿌리(괴근)를 달고 있다. 이 덩이뿌리를 몇 개 붙여 포기나누기 하면 쉽게 번식된다.
6,360,관중,Buckler fern,끼리끼리,양치식물 중 잎 길이 1m 정도의 대형으로 대형 분화용으로 좋으며 그늘진 곳의 조경용으로 훌륭한 소재다. 정원의 그늘진 곳에 바위틈에 심으면 잘 어울린다. 어린잎은 식용으로도 쓴다. 그늘진 어두운 곳에서 환하게 빛나는 화려한 금관 모양을 하고 있다.,다른 양치식물들처럼 포자나 포기나누기로 번식한다. 잔뿌리가 사방으로 뻗으며 자란다. 뿌리줄기가 굵은 덩어리 모양으로 매년 신초가 나오며 포기가 커진다. 봄에 나오는 신초의 모습이 어르신들 귀에 꽂는 보청기를 꼭 닮았다.
7,359,포인세티아,Poinsettia,"축복, 나의 마음은 불타고 있습니다.","우리나라에서도 크리스마스 장식용으로 점차 자리를 잡아가고 있다. 웬만한 백화점이나 상가, 사무용 빌딩에 크리스마스트리 장식용으로 많이 이용된다. 가정의 분화용으로 가장 많이 쓰인다.","포인세티아의 위의 빨간 것들을 포엽이라고 한다. 이것은 저절로 생기는 것이 아니라 출하 50일전부터 하루 8시간 정도의 단일처리(낮에 길이를 하루 12시간 이하로 줄이는 것)를 해 줘야 생긴다. 삽목부터 개화묘까지는 약 4-5개월 밖에 걸리지 않기 때문에 우리나라에서도 소형 분화용으로 수요가 점차 늘고 있다. 번식은 주로 삽목번식에 의하는데, 다른 목본류들과 달리 삽목시 묘의 부패가 많아 각별한 주의를 요한다."
8,358,속새,Common horsetail,환호,자생지가 습한 곳이라 수생분경이나 연못정원 같은 곳에서 종종 쓰인다. 자라는데 광선은 크게 영향을 받지 않기 때문에 다소 어두운 실내에서도 이용이 가능하다. 추위에도 강한 편이라 중부지역에서도 장소에 따라 이용할 수 있다. 식물체 전체를 장출혈이나 치질 지혈제로 쓴다고 한다.,"땅속줄기로 번식한다. 땅속줄기들이 옆으로 벋으며 자라는데 땅위로 돌출될 정도로 얕게 자라므로 봄이나 가을에 이 줄기들을 잘라 삽목하면 된다. 줄기 끝에 포자들이 들어있는 포자낭이 달리는데, 일반 양치식물들처럼 이 포자낭을 떼어 기내에서 배양해도 번식이 가능할 것으로 보이지만 아직 정확한 연구결과는 없다."
9,357,자금우,Marl berry,정열,"연중 푸른 상록성의 관목이면서 키가 작고 잎과 열매 모양이 좋아 실내 분화용으로 훌륭하다. 줄기가 늘어지면서 자라는 습성이 있어 걸이용 화분(hanging flower)으로도 좋으며, 낮은 광도에서도 잘 견디기 때문에 실내정원을 만들 때 포인트 또는 앞부분 식재용 소재로도 쓰인다. 실내에서 많이 쓰이는 순서는 백량금. 산호수, 자금우 순이다.",씨앗을 뿌려 번식하거나 삽목으로 번식한다. 씨앗(열매)을 가을에 따서 땅속에 저장해 두었다 봄에 뿌리면 발아가 잘 된다. 씨앗을 뿌리면 대량으로 생산할 수 있으나 꽃이 피려면 4년 정도 기다려야 한다. 삽목은 봄이나 여름철 습도가 높을 때 줄기나 뿌리를 잘라 삽목상에 꽂아 새 뿌리를 내리게 한다. 생육이 강건해 가정에서 기르기 쉬운 식물이다.
